X,Y,Longitude,Latitude,Median,Matrix,icon_url
29.882,45.259,29.882000000000001,45.259000000000000,0.000110000000000,Water,./0.png
29.814,45.272,29.814000000000000,45.271999999999998,0.000100000000000,Water,./0.png
30.768,46.552,30.768000000000001,46.552000000000000,0.000310000000000,Water,./0.png
30.729,46.671,30.728999999999999,46.670999999999999,0.000260000000000,Water,./0.png
30.725,46.669,30.725000000000001,46.668999999999997,0.001360000000000,Water,./0.png
30.75,46.574,30.750000000000000,46.573999999999998,0.000250000000000,Water,./0.png
30.74,46.561,30.739999999999998,46.561000000000000,0.000310000000000,Water,./0.png
30.769,46.553,30.768999999999998,46.552999999999997,0.000820000000000,Water,./0.png
30.73,46.671,30.730000000000000,46.670999999999999,0.000170000000000,Water,./0.png
30.727,46.669,30.727000000000000,46.668999999999997,0.000470000000000,Water,./0.png
